,Users_ID,Clusters
488,14596,3
489,14600,7
490,14613,5
491,14622,6
492,14635,4
493,14636,10
494,14640,3
495,14643,5
496,14647,3
497,14656,8
498,14658,10
499,14666,5
500,14672,5
501,14676,7
502,14678,7
503,14688,4
504,14694,9
505,14709,2
506,14716,7
507,14730,1
508,14732,1
509,14735,1
510,14796,4
511,14802,7
512,14816,5
513,14828,8
514,14839,10
515,14846,10
516,14853,8
517,14854,5
518,14866,10
519,14885,9
520,14926,9
521,14932,10
522,14938,3
523,14946,4
524,14965,3
525,14978,4
526,14985,6
527,14991,1
528,15026,2
529,15057,9
530,15074,8
531,15079,8
532,15114,8
533,15123,6
534,15126,10
535,15133,4
536,15142,6
537,15163,10
538,15172,3
539,15176,10
540,15182,4
541,15187,10
542,15188,6
543,15195,3
544,15202,9
545,15219,2
546,15220,3
547,15248,2
548,15255,10
549,15258,5
550,15282,7
551,15290,6
552,15315,10
553,15319,3
554,15322,8
555,15339,9
556,15342,3
557,15347,8
558,15363,10
559,15367,3
560,15368,2
561,15380,1
562,15400,3
563,15441,4
564,15442,7
565,15446,2
566,15456,1
567,15460,2
568,15461,8
569,15464,10
570,15476,7
571,15479,10
572,15495,3
573,15526,8
574,15569,10
575,15574,7
576,15578,1
577,15579,10
578,15585,4
579,15628,5
580,15678,7
581,15716,3
582,15718,8
583,15749,10
584,15764,6
585,15768,4
586,15771,7
587,15816,6
588,15827,6
589,15833,10
590,15863,3
591,15879,3
592,15883,7
593,15898,1
594,15903,1
595,15942,2
596,15944,5
597,15971,3
598,16007,2
599,16020,8
600,16022,3
601,16024,7
602,16080,3
603,16085,3
604,16090,3
605,16142,3
606,16201,5
607,16216,3
608,16225,7
609,16233,3
610,16238,3
611,16257,4
612,16273,7
613,16281,2
614,16287,6
615,16293,1
616,16295,7
617,16297,3
618,16307,7
619,16344,7
620,16355,8
621,16371,7
622,16388,4
623,16402,7
624,16407,8
625,16426,3
626,16443,1
627,16448,1
628,16490,3
629,16495,10
630,16508,8
631,16511,8
632,16520,8
633,16522,10
634,16578,3
635,16586,2
636,16608,4
637,16617,10
638,16641,6
639,16647,4
640,16649,4
641,16653,3
642,16659,2
643,16669,9
644,16672,10
645,16677,10
646,16679,10
647,16689,6
648,16692,2
649,16696,4
650,16708,9
651,16710,5
652,16711,5
653,16718,1
654,16720,10
655,16725,7
656,16734,2
657,16741,8
658,16755,3
659,16763,9
660,16772,10
661,16773,8
662,16776,1
663,16778,4
664,16779,7
665,16794,3
666,16795,8
667,16799,3
668,16800,3
669,16802,6
670,16803,4
671,16807,10
672,16808,10
673,16810,3
674,16813,7
675,16814,6
676,16817,10
677,16823,1
678,16842,7
679,16845,2
680,16847,5
681,16848,7
682,16855,8
683,16860,7
684,16876,10
685,16878,10
686,16892,8
687,16895,5
688,16898,5
689,16923,7
690,16936,7
691,16940,3
692,16948,7
693,16949,9
694,16961,10
695,16968,2
696,16970,9
697,16975,5
698,16976,2
699,16979,9
700,16986,10
701,16992,3
702,17009,10
703,17011,10
704,17038,7
705,17039,4
706,17047,4
707,17062,6
708,17064,7
709,17069,7
710,17071,1
711,17073,6
712,17077,3
713,17078,9
714,17087,8
715,17094,10
716,17100,2
717,17116,6
718,17117,6
719,17122,8
720,17136,10
721,17144,3
722,17145,10
723,17151,8
724,17154,4
725,17155,1
726,17167,7
727,17171,8
728,17198,10
729,17199,2
730,17230,7
731,17233,3
732,17242,7
733,17265,4
734,17281,3
735,17288,10
736,17297,9
737,17310,5
738,17347,3
739,17352,3
740,17353,8
741,17376,2
742,17396,9
743,17401,7
744,17434,5
745,17451,8
746,17455,1
747,17456,2
748,17457,1
749,17485,1
750,17518,10
751,17543,8
752,17557,3
753,17573,10
754,17578,8
755,17579,9
756,17582,7
757,17583,8
758,17585,3
759,17586,7
760,17610,8
761,17614,5
762,17615,10
763,17630,10
764,17664,7
765,17689,3
766,17691,10
767,17727,5
768,17728,8
769,17798,3
770,17815,3
771,17841,8
772,17844,3
773,17862,9
774,17865,5
775,17873,4
776,17888,2
777,17904,10
778,17906,5
779,17910,3
780,17916,4
781,17918,9
782,17931,3
783,17935,3
784,17952,3
785,17980,7
786,17983,7
787,17986,3
788,17990,1
789,18021,7
790,18024,8
791,18028,5
792,18045,1
793,18049,1
794,18059,3
795,18060,10
796,18063,4
797,18075,5
798,18076,8
799,18084,8
800,18109,10
801,18117,10
802,18137,3
803,18156,1
804,18164,3
805,18198,10
806,18203,6
807,18261,4
808,18275,7
809,18319,7
810,18326,7
811,18337,7
812,18341,5
813,18353,7
814,18362,10
815,18384,6
816,18391,8
817,18400,3
818,18409,10
819,18410,5
820,18434,7
821,18436,9
822,18441,2
823,18442,2
824,18455,3
825,18477,8
826,18483,3
827,18487,3
828,18508,9
829,18529,8
830,18544,3
831,18549,8
832,18563,6
833,18570,3
834,18575,5
835,18606,8
836,18608,3
837,18614,3
838,18619,5
839,18620,7
840,18648,10
841,18673,3
842,18681,4
843,18700,9
844,18755,3
845,18759,10
846,18766,7
847,18782,5
848,18789,2
849,18794,10
850,18805,4
851,18817,9
852,18830,3
853,18854,9
854,18868,8
855,18878,9
856,18884,10
857,18924,5
858,18939,9
859,18945,6
860,18968,1
861,18974,2
862,18989,1
863,18996,10
864,19009,1
865,19011,3
866,19043,3
867,19058,1
868,19062,5
869,19084,3
870,19131,7
871,19152,10
872,19170,2
873,19187,2
874,19209,1
875,19216,10
876,19220,9
877,19222,6
878,19236,10
879,19239,4
880,19245,2
881,19246,1
882,19250,2
883,19251,8
884,19257,9
885,19263,10
886,19276,7
887,19286,4
888,19287,6
889,19299,3
890,19300,9
891,19302,3
892,19305,8
893,19313,3
894,19314,7
895,19318,7
896,19320,3
897,19329,3
898,19330,9
899,19334,4
900,19339,8
901,19354,10
902,19355,10
903,19369,7
904,19371,10
905,19374,10
906,19391,8
907,19392,3
908,19397,10
909,19406,9
910,19423,7
911,19437,6
912,19447,3
913,19454,3
914,19469,3
915,19478,9
916,19490,2
917,19492,7
918,19496,1
919,19497,8
920,19509,2
921,19522,3
922,19547,10
923,19559,10
924,19592,7
925,19600,3
926,19607,1
927,19633,8
928,19662,3
929,19677,10
930,19687,3
931,19690,8
932,19698,8
933,19702,7
934,19704,6
935,19722,10
936,19760,5
937,19769,2
938,19804,5
939,19854,8
940,19870,3
941,19878,8
942,19891,8
943,19915,7
944,19920,10
945,19948,10
946,19959,3
947,19998,3
948,20025,10
949,20044,3
950,20055,3
951,20065,4
952,20067,10
953,20093,8
954,20094,2
955,20097,7
956,20122,4
957,20128,10
958,20134,3
959,20137,3
960,20147,10
961,20151,10
962,20178,4
963,20201,4
964,20202,8
965,20212,3
966,20213,1
967,20220,8
968,20222,2
969,20227,3
970,20231,10
971,20286,10
972,20304,8
973,20321,9
974,20330,7
975,20382,8
976,20392,5
977,20413,9
978,20421,10
979,20440,3
980,20473,8
981,20494,6
982,20514,10
983,20523,2
984,20530,3
985,20533,5
986,20536,3
987,20544,1
988,20550,10
989,20551,8
990,20573,1
991,20581,5
992,20583,5
993,20585,7
994,20590,9
995,20596,7
996,20600,8
997,20615,8
998,20617,10
999,20630,7
1000,20643,6
1001,20645,2
1002,20660,2
1003,20691,10
1004,20715,2
1005,20737,3
1006,20749,2
1007,20755,3
1008,20807,10
1009,20851,7
1010,20886,3
1011,20892,3
1012,20916,1
1013,20930,10
1014,20937,10
1015,21016,1
1016,21040,4
1017,21046,10
1018,21065,1
1019,21070,10
1020,21075,7
1021,21080,8
1022,21086,4
1023,21089,10
1024,21096,1
1025,21104,8
1026,21105,8
1027,21115,1
1028,21119,4
1029,21128,6
1030,21130,2
1031,21153,9
1032,21169,10
1033,21181,1
1034,21186,8
1035,21188,3
1036,21191,7
1037,21196,1
1038,21197,8
1039,21206,3
1040,21209,4
1041,21212,8
1042,21218,7
1043,21221,4
1044,21222,7
1045,21227,1
1046,21237,7
1047,21285,10
1048,21288,7
1049,21295,6
1050,21297,9
1051,21299,10
1052,21304,5
1053,21311,9
1054,21366,9
1055,21389,4
1056,21392,3
1057,21409,8
1058,21429,7
1059,21434,1
1060,21439,7
1061,21441,3
1062,21444,1
1063,21462,4
1064,21470,3
1065,21477,3
1066,21480,6
1067,21482,8
1068,21486,2
1069,21493,4
1070,21494,5
1071,21498,10
1072,21501,4
1073,21508,8
1074,21531,8
1075,21549,10
1076,21554,6
1077,21578,10
1078,21589,10
1079,21630,10
1080,21633,8
1081,21645,1
1082,21662,2
1083,21664,7
1084,21668,2
1085,21677,10
1086,21693,3
1087,21703,5
1088,21706,4
1089,21723,7
1090,21725,7
1091,21726,4
1092,21740,10
1093,21741,3
1094,21751,6
1095,21754,3
1096,21758,7
1097,21760,6
1098,21768,4
1099,21777,4
1100,21801,2
1101,21804,6
1102,21846,7
1103,21862,3
1104,21863,1
1105,21875,5
1106,21879,8
1107,21900,6
1108,21917,3
1109,21925,8
1110,21930,8
1111,21945,1
1112,21974,1
1113,22026,1
1114,22072,4
1115,22114,6
1116,22136,8
1117,22144,10
1118,22147,3
1119,22152,1
1120,22163,2
1121,22208,7
1122,22209,3
1123,22219,4
1124,22226,7
1125,22241,8
1126,22243,7
1127,22252,10
1128,22260,6
1129,22310,7
1130,22319,10
1131,22329,6
1132,22336,2
1133,22337,1
1134,22340,5
1135,22345,10
1136,22377,3
1137,22380,1
1138,22411,1
1139,22439,1
1140,22440,10
1141,22442,7
1142,22461,4
1143,22472,4
1144,22478,8
1145,22482,3
1146,22487,6
1147,22515,3
1148,22530,9
1149,22578,10
1150,22594,6
1151,22603,10
1152,22612,8
1153,22650,3
1154,22651,5
1155,22656,10
1156,22658,10
1157,22666,3
1158,22675,7
1159,22687,3
1160,22696,3
1161,22700,4
1162,22703,1
1163,22704,3
1164,22709,5
1165,22717,1
1166,22724,7
1167,22736,10
1168,22739,7
1169,22748,8
1170,22759,4
1171,22762,4
1172,22781,10
1173,22785,8
1174,22801,8
1175,22803,10
1176,22807,7
1177,22816,3
1178,22826,6
1179,22833,7
1180,22848,5
1181,22871,8
1182,22872,9
1183,22884,4
1184,22892,6
1185,22901,7
1186,22908,4
1187,22940,10
1188,22946,3
1189,22951,4
1190,22965,1
1191,22973,10
1192,22974,6
1193,22977,8
1194,22980,4
1195,22984,3
1196,22993,3
1197,23005,7
1198,23021,6
1199,23031,7
1200,23035,10
1201,23046,2
1202,23064,1
1203,23092,8
1204,23102,6
1205,23109,2
1206,23114,10
1207,23115,1
1208,23124,5
1209,23127,8
1210,23131,3
1211,23151,5
1212,23157,5
1213,23173,7
1214,23177,10
1215,23187,7
1216,23197,4
1217,23218,1
1218,23229,10
1219,23239,10
1220,23246,3
1221,23277,3
1222,23293,4
1223,23295,10
1224,23324,3
1225,23325,4
1226,23331,5
1227,23347,4
1228,23351,7
1229,23355,9
1230,23357,7
1231,23368,7
1232,23376,3
1233,23378,9
1234,23380,10
1235,23383,3
1236,23386,2
1237,23389,5
1238,23390,10
1239,23393,2
1240,23407,10
1241,23417,10
1242,23419,4
1243,23429,10
1244,23432,10
1245,23433,10
1246,23434,10
1247,23437,2
1248,23458,10
1249,23465,3
1250,23492,6
1251,23504,4
1252,23528,8
1253,23543,10
1254,23546,7
1255,23554,4
1256,23556,7
1257,23594,3
1258,23603,8
1259,23612,10
1260,23613,8
1261,23614,2
1262,23620,10
1263,23626,4
1264,23632,3
1265,23643,3
1266,23644,6
1267,23646,4
1268,23647,3
1269,23648,1
1270,23676,4
1271,23678,2
1272,23679,2
1273,23685,8
1274,23713,8
1275,23726,3
1276,23762,8
1277,23767,3
1278,23770,3
1279,23790,7
1280,23806,3
1281,23809,4
1282,23822,4
1283,23866,6
1284,23867,4
1285,23881,10
1286,23904,10
1287,23905,5
1288,23908,4
1289,23913,8
1290,23918,10
1291,23920,2
1292,23926,5
1293,23940,10
1294,23943,6
1295,23947,2
1296,23949,10
1297,23952,10
1298,23961,3
1299,23979,5
1300,23982,3
1301,23986,5
1302,23987,2
1303,23992,4
1304,23993,10
1305,24000,3
1306,24017,4
1307,24020,8
1308,24042,10
1309,24048,10
1310,24049,5
1311,24050,1
1312,24065,8
1313,24068,6
1314,24073,7
1315,24079,8
1316,24091,5
1317,24099,7
1318,24100,7
1319,24123,4
1320,24187,7
1321,24212,3
1322,24223,6
1323,24227,5
1324,24228,2
1325,24253,7
1326,24256,8
1327,24261,3
1328,24264,7
1329,24272,7
1330,24279,3
1331,24280,8
1332,24285,5
1333,24300,8
1334,24334,10
1335,24351,2
1336,24372,6
1337,24388,1
1338,24393,3
1339,24399,10
1340,24415,6
1341,24433,9
1342,24461,3
1343,24477,10
1344,24481,3
1345,24495,3
1346,24496,7
1347,24512,5
1348,24520,2
1349,24575,10
1350,24591,7
1351,24601,2
1352,24611,6
1353,24629,2
1354,24696,1
1355,24711,3
1356,24787,8
1357,24860,4
1358,24878,8
1359,24922,4
1360,24929,4
1361,24938,10
1362,24963,8
1363,24974,8
1364,24995,3
1365,25002,10
1366,25014,5
1367,25028,5
1368,25038,3
1369,25041,1
1370,25042,5
1371,25045,1
1372,25056,9
1373,25059,10
1374,25062,3
1375,25064,5
1376,25065,4
1377,25077,10
1378,25078,10
1379,25106,5
1380,25112,3
1381,25120,10
1382,25128,3
1383,25137,3
1384,25164,5
1385,25174,3
1386,25186,7
1387,25187,1
1388,25190,7
1389,25199,2
1390,25230,10
1391,25242,3
1392,25245,10
1393,25246,7
1394,25248,10
1395,25253,1
1396,25260,2
1397,25263,4
1398,25300,1
1399,25328,3
1400,25333,8
1401,25344,3
1402,25359,3
1403,25361,4
1404,25368,7
1405,25372,10
1406,25381,2
1407,25382,7
1408,25387,10
1409,25403,7
1410,25408,7
1411,25432,8
1412,25436,5
1413,25439,2
1414,25440,6
1415,25446,10
1416,25453,3
1417,25470,8
1418,25491,3
1419,25493,10
1420,25495,7
1421,25497,10
1422,25521,10
1423,25522,3
1424,25542,1
1425,25543,10
1426,25544,3
1427,25550,3
1428,25562,6
1429,25571,7
1430,25588,2
1431,25600,6
1432,25610,10
1433,25615,8
1434,25619,2
1435,25625,7
1436,25633,3
1437,25635,3
1438,25640,3
1439,25642,3
1440,25648,8
1441,25655,1
1442,25675,3
1443,25676,8
1444,25718,3
1445,25765,7
1446,25770,4
1447,25772,3
1448,25779,8
1449,25793,3
1450,25812,3
1451,25813,3
1452,25839,8
1453,25844,10
1454,25846,3
1455,25847,10
1456,25869,10
1457,25895,9
1458,25898,7
1459,25899,3
1460,25904,4
1461,25917,9
1462,25925,3
1463,25933,10
1464,25936,6
1465,25940,10
1466,25944,10
1467,25949,4
1468,25958,1
1469,25960,3
1470,25968,4
1471,25970,1
1472,25973,5
1473,25986,3
1474,26009,7
1475,26013,7
1476,26019,3
1477,26038,2
1478,26048,8
1479,26052,3
1480,26061,8
1481,26062,10
1482,26069,1
1483,26070,8
1484,26074,9
1485,26076,8
1486,26077,1
1487,26078,3
1488,26097,10
1489,26110,10
1490,26121,3
1491,26138,7
1492,26139,8
1493,26143,10
1494,26146,8
1495,26167,4
1496,26168,10
1497,26170,4
1498,26171,10
1499,26177,10
1500,26178,1
1501,26203,8
1502,26208,7
1503,26214,5
1504,26222,10
1505,26235,5
1506,26240,10
1507,26244,7
1508,26248,7
1509,26249,3
1510,26252,2
1511,26263,8
1512,26267,3
1513,26296,8
1514,26301,10
1515,26302,2
1516,26319,5
1517,26323,5
1518,26326,7
1519,26330,5
1520,26335,2
1521,26346,3
1522,26358,8
1523,26363,7
1524,26367,5
1525,26369,7
1526,26372,5
1527,26378,3
1528,26384,9
1529,26388,1
1530,26391,1
1531,26393,4
1532,26400,3
1533,26401,8
1534,26412,2
1535,26420,2
1536,26440,10
1537,26452,2
1538,26453,10
1539,26454,7
1540,26458,7
1541,26467,7
1542,26474,7
1543,26504,10
1544,26534,5
1545,26552,7
1546,26554,10
1547,26567,7
1548,26570,6
1549,26576,2
1550,26598,4
1551,26600,10
1552,26615,4
1553,26617,1
1554,26623,10
1555,26625,2
1556,26628,9
1557,26634,5
1558,26646,10
1559,26649,7
1560,26653,2
1561,26659,1
1562,26666,2
1563,26668,2
1564,26678,10
1565,26680,5
1566,26681,10
1567,26682,8
1568,26686,9
1569,26703,9
1570,26706,7
1571,26708,9
1572,26711,3
1573,26718,9
1574,26725,5
1575,26740,6
1576,26742,4
1577,26744,3
1578,26746,7
1579,26753,6
1580,26756,6
1581,26757,10
1582,26762,6
1583,26765,10
1584,26766,3
1585,26772,4
1586,26777,3
1587,26797,2
1588,26798,2
1589,26799,10
1590,26828,10
1591,26832,7
1592,26837,9
1593,26864,3
1594,26870,7
1595,26871,7
1596,26875,7
1597,26884,5
1598,26887,3
1599,26889,2
1600,26904,6
1601,26913,7
1602,26923,1
1603,26930,2
1604,26938,10
1605,26940,6
1606,26951,7
1607,26971,3
1608,26975,8
1609,26984,7
1610,26986,7
1611,26992,2
1612,26997,3
1613,27005,6
1614,27014,7
1615,27019,10
1616,27036,10
1617,27056,3
1618,27094,2
1619,27100,3
1620,27105,1
1621,27119,7
1622,27134,6
1623,27136,5
1624,27138,9
1625,27204,7
1626,27216,4
1627,27224,1
1628,27228,8
1629,27244,10
1630,27273,7
1631,27274,1
1632,27305,10
1633,27316,3
1634,27319,3
1635,27343,5
1636,27345,10
1637,27350,7
1638,27353,7
1639,27386,3
1640,27401,7
1641,27429,4
1642,27447,8
1643,27478,2
1644,27510,4
1645,27527,10
1646,27551,3
1647,27558,7
1648,27561,1
1649,27580,6
1650,27586,9
1651,27589,5
1652,27594,3
1653,27616,10
1654,27619,6
1655,27621,6
1656,27623,7
1657,27625,5
1658,27671,4
1659,27696,8
1660,27712,4
1661,27730,8
1662,27739,8
1663,27753,5
1664,27772,3
1665,27777,4
1666,27785,8
1667,27792,9
1668,27793,7
1669,27805,2
1670,27807,3
1671,27825,1
1672,27905,5
1673,27935,3
1674,27939,1
1675,27947,5
1676,27949,6
1677,27952,2
1678,27970,6
1679,27975,8
1680,27982,4
1681,28007,1
1682,28028,4
1683,28040,1
1684,28093,3
1685,28106,2
1686,28142,6
1687,28172,10
1688,28193,3
1689,28194,1
1690,28203,1
1691,28206,6
1692,28214,3
1693,28234,10
1694,28241,3
1695,28254,9
1696,28260,5
1697,28263,3
1698,28267,3
1699,28307,10
1700,28310,7
1701,28350,7
1702,28352,7
1703,28362,10
1704,28365,7
1705,28375,3
1706,28382,1
1707,28397,8
1708,28425,3
1709,28430,9
1710,28433,5
1711,28434,4
1712,28439,8
1713,28445,10
1714,28446,5
1715,28447,8
1716,28448,7
1717,28450,10
1718,28453,8
1719,28459,7
1720,28463,3
1721,28470,2
1722,28478,7
1723,28480,1
1724,28481,8
1725,28488,1
1726,28500,8
1727,28507,2
1728,28514,5
1729,28517,3
1730,28522,10
1731,28525,10
1732,28526,10
1733,28527,4
1734,28531,3
1735,28541,6
1736,28546,10
1737,28548,7
1738,28552,10
1739,28553,1
1740,28581,8
1741,28582,7
1742,28583,8
1743,28590,7
1744,28608,7
1745,28618,2
1746,28625,3
1747,28681,3
1748,28688,2
1749,28689,7
1750,28695,5
1751,28701,4
1752,28706,6
1753,28707,10
1754,28768,10
1755,28781,9
1756,28794,8
1757,28804,6
1758,28805,8
1759,28819,7
1760,28823,4
1761,28826,7
1762,28829,8
1763,28833,7
1764,28838,10
1765,28845,7
1766,28852,10
1767,28853,8
1768,28859,10
1769,28874,10
1770,28883,1
1771,28898,6
1772,28900,4
1773,28919,3
1774,28924,2
1775,28926,5
1776,28934,8
1777,28976,5
1778,28988,9
1779,28990,3
1780,29030,8
1781,29035,4
1782,29036,7
1783,29037,2
1784,29049,2
1785,29060,3
1786,29067,10
1787,29071,4
1788,29103,1
1789,29120,3
1790,29122,6
1791,29129,3
1792,29144,10
1793,29182,1
1794,29183,3
1795,29193,3
1796,29208,6
1797,29209,5
1798,29215,7
1799,29233,7
1800,29236,6
1801,29247,4
1802,29248,1
1803,29251,6
1804,29271,2
1805,29278,10
1806,29318,1
1807,29346,3
1808,29350,2
1809,29377,5
1810,29393,4
1811,29405,8
1812,29407,7
1813,29415,2
1814,29421,10
1815,29437,7
1816,29440,2
1817,29459,7
1818,29467,9
1819,29471,8
1820,29491,10
1821,29495,3
1822,29527,1
1823,29529,10
1824,29533,5
1825,29566,7
1826,29570,9
1827,29577,2
1828,29578,2
1829,29582,1
1830,29585,10
1831,29586,8
1832,29593,3
1833,29595,4
1834,29596,5
1835,29602,3
1836,29606,4
1837,29613,5
1838,29617,7
1839,29618,7
1840,29620,8
1841,29628,1
1842,29630,3
1843,29632,3
1844,29638,8
1845,29640,7
1846,29663,10
1847,29666,7
1848,29672,5
1849,29674,7
1850,29681,8
1851,29688,3
1852,29693,3
1853,29704,6
1854,29705,3
1855,29713,6
1856,29718,10
1857,29721,2
1858,29724,10
1859,29734,3
1860,29737,8
1861,29738,10
1862,29745,3
1863,29753,3
1864,29759,4
1865,29771,5
1866,29772,10
1867,29779,7
1868,29784,4
1869,29791,10
